Date,SO2,NOx,PM10,PM2.5,NH3,Ozone,CO,Benzene,AQI
Jan-17,10.2,46.3,131,67,30,46,0.5,0.3,133
Feb-17,11.1,48.9,139,61,28,42.7,0.7,0.2,128
Mar-17,10.8,44.3,115,44,29,44.2,0.8,0.1,108
Apr-17,12.2,66.1,147,48,29,54.3,1.1,0.1,132
May-17,8.6,30,94,31,16,52,0.8,0,94
Jun-17,4.4,14.4,34,11,8,30.5,0.7,0.1,45
Jul-17,4.2,13.5,43,13,6,20,0.7,0.7,47
Aug-17,6,16.7,41,13,8,30.9,0.8,2.4,52
Sep-17,6.2,20.8,48,19,9,44.8,0.9,3.9,65
Oct-17,5.2,37.4,84,41,11,47.7,1.1,23.2,97
Nov-17,10.9,50.7,97,47,17,62,1.1,19.7,96
Dec-17,10.9,70.9,134,70,22,67.7,1.2,13.7,142
Jan-18,10.7,66.4,147,70,25,73.2,1.2,12,146
Feb-18,6.8,65.8,109,43,21,59.1,1,8.1,106
Mar-18,7.2,53.8,112,44,20,72.9,0.9,7.2,107
Apr-18,3.6,46.4,89,29,16,63.3,0.6,5.2,93
May-18,2.8,32.1,86,30,14,69.1,0.9,3.5,93
Jun-18,2.6,20.7,50,18,9.4,40.1,0.3,1.7,56
Jul-18,2.7,15.4,41,15,5,23.7,0.2,0.8,42
Aug-18,2.7,16.2,40,13,5,21,0.2,1,41
Sep-18,3.1,33.3,73,29,11,30.4,0.4,4.1,73
Oct-18,8.2,50,119,49,15,43.2,0.5,5.5,111
Nov-18,10.3,53.2,120,49,13,51.5,0.5,5,112
Dec-18,8.1,50.5,124,64,18,57,0.6,4.9,129
Jan-19,9.7,62.4,137,70,22,56.9,0.7,5,145
Feb-19,5.8,46.9,118,47,17,57.5,0.5,3.4,112
Mar-19,5.3,37,111,38,13,53.1,0.7,2.3,106
Apr-19,3.4,32.5,92,30,12,68.5,0.6,2.3,91
May-19,6.3,37.4,126,36,10,64.8,0.7,2.9,116
Jun-19,2.1,17.2,51,16,10,44.3,0.4,0.9,61
Jul-19,1.9,18.7,34,9,9,23,0.4,0.5,36
Aug-19,1.8,18.4,37,9,8,17.2,0.5,0.1,43
Sep-19,1.9,26.3,36,14,9,13.4,0.3,0.1,40
Oct-19,2,34.6,58,27,8,16.1,0.5,0.1,61
Nov-19,3.1,44.5,123,61,13,30.2,0.6,0.1,126
Dec-19,2.8,41.4,107,53,20,27.7,0.8,0.2,109
Jan-20,3.4,38.7,94,39,24,27.8,0.6,0.1,91
Feb-20,3.8,48.5,91,33,34,31.4,-,0.5,89
Mar-20,2.8,26.5,73,27,14,32.7,0.4,4.1,73
Apr-20,4.3,40.6,55,23,12,19.9,0.5,2.5,60
May-20,6.2,27.6,74,22,10,41.4,0.3,3,73
Jun-20,4.5,24.9,43,20,9,25.6,0.3,1,46
Jul-20,4.3,24.8,33,16,8,28.7,0.3,0.9,40
Aug-20,4.9,18.6,31,16,10,19.6,0.2,0.7,33
Sep-20,4.8,22.6,42,23,8,35.5,0.2,1.5,52
Oct-20,3.2,33.8,91,48,8,31.2,0.5,3.1,93
Nov-20,6.2,39.7,110,54,10,50,0.5,3.2,109
Dec-20,6.5,49.2,128,67,15,58.4,0.7,3.9,141
Jan-21,2.7,39.5,113,58,14,57,0.6,3,117
Feb-21,4.3,47.5,120,51,16,62.9,0.6,3.3,113
Mar-21,3.3,36.5,122,47,12,60.8,0.6,2.8,114
Apr-21,3.1,39.1,109,39,13,60.1,0.5,2,104
May-21,2.4,27.5,57,19,10,29.5,0.3,1.2,57
Jun-21,2.2,23.3,41,12,6,18.9,0.3,1.3,43
Jul-21,2.4,21.2,27,8,7,13.8,0.3,1.3,31
Aug-21,2.8,23.8,33,9,9,11.7,0.3,1.3,35
Sep-21,2.7,24.8,29,7,7,10.2,0.3,1.2,36
Oct-21,5.5,37.9,88,37,8,21.2,0.5,2.2,86
Nov-21,6.4,41.6,81,39,9,19.4,0.5,2.3,89
Dec-21,8.6,50.9,124,64,11,27.2,0.6,3.3,128
Jan-22,6.1,46.3,134,51,10,21.9,0.5,2.43,128
Feb-22,5.4,44.6,121,42,12,28.9,0.52,1.88,112
Mar-22,5.1,43.5,126,45,9,20.9,0.55,2.49,116
Apr-22,3.8,55.6,102,34,9,19.6,0.47,1.83,100
May-22,3.5,57.8,102,30,8,17.4,0.4,0.88,101
Jun-22,2.8,50.2,45,13,8,8.7,0.31,1.44,69
Jul-22,2.6,40.8,31,10,7,5.6,0.27,0.92,52
Aug-22,2.8,39.2,36,10,5,5.3,0.27,1.77,52
Sep-22,4.5,37.8,39,12,5,4,0.32,2.23,52
Oct-22,6.4,37,80,29,10,11.7,0.5,2.68,82
Nov-22,9.3,54.9,139,55,14,18.3,0.66,3.01,129
Dec-22,5.5,55.4,119,49,16,7.7,0.71,2.45,110
Jan-23,4.9,49.4,110,43,16,14.9,0.6,1.54,105
Feb-23,8.8,60.8,142,46,16,18.3,0.65,1.52,128
Mar-23,3.5,49,101,34,14,17.7,0.51,0.84,98
Apr-23,4.3,42.4,93,31,11,18.5,0.48,0.7,92
May-23,3.5,40.8,86,29,9,29.1,0.46,1.04,87
Jun-23,4.3,52.8,67,20,16,28.5,0.3,0.58,77
Jul-23,4.9,37.9,45,22,11,23.9,0.24,0.31,55
Aug-23,4.6,46.9,79,35,12,20.8,0.31,0.55,81
Sep-23,4.8,38.8,41,13,16,3.1,0.38,0.46,52
Oct-23,6.3,39.7,89,31,12,3.6,0.34,1.7,88
Nov-23,6.4,26.7,81,34,16,3.6,0.87,4.19,83
Dec-23,6.84,19.78,60.26,39.9,21.4,54.79,1.34,2.85,108.32
Jan-24,7.07,22.53,59.03,38.23,23.2,56.51,1.1,2.94,109.03
Feb-24,6.03,18.06,38.04,23.98,19.5,64.18,0.52,2.55,76.68
Mar-24,6.4,20.38,44.92,27.86,16.8,67.16,1.45,2.1,87.51
Apr-24,6.16,18.33,47.35,29.29,15.2,69.63,1.08,1.88,90.68
May-24,5.65,15.53,38.68,23.51,14,71.22,0.88,1.62,83.41
Jun-24,4.61,11.47,26.42,16.19,11.2,64.53,0.65,1.15,57.92
Jul-24,3.79,7.28,12.88,7.14,8.5,48.66,0.52,0.84,30.34
Aug-24,4.53,9.44,22.15,13.22,9.1,52.82,0.55,0.89,48.6
Sep-24,4.91,10.67,26.65,16.27,12.4,54.88,0.68,1.24,56.46
Oct-24,6.11,16.95,44.65,28.6,15.8,58.03,0.92,1.95,84.76
Nov-02,7.62,23.41,65.91,53.15,18.9,48.84,1.28,2.4,137.55
Dec-24,6.54,17.88,35.3,24.61,22.5,46.72,1.45,3.12,98.87
Jan-25,6.92,20.75,44.32,43.14,24.1,47.95,1.38,3.05,120.73
Feb-25,6.37,18.93,37.7,34.01,20.8,52.41,1.14,2.68,103.51
Mar-25,5.88,16.74,34.67,30.07,17.4,115.6,0.99,2.25,100.36
Apr-25,5.7,15.96,41.94,31.63,15.9,114.62,1.05,1.92,104.36
May-25,5.41,14.52,35.43,27.1,14.5,103.39,0.91,1.7,91.9
Jun-25,4.18,10.48,29.8,18.08,11.8,72.42,0.62,1.22,61.43
Jul-25,3.72,8012,20.17,11.12,8.2,54.51,0.49,0.78,42.33
Aug-25,4.06,8.84,18.94,14.35,8.8,55.48,0.51,0.82,50.99
Sep-25,4.35,9.73,19.21,16.01,13.1,66.17,0.72,1.35,57.53
Oct-25,5.14,12.88,25.53,23.22,16.5,70.65,0.98,2.12,72.79
Nov-25,6.49,18.61,43.42,41.77,19.4,100.36,1.32,2.65,113.98
Dec-25,7.08,21.35,50.4,48.66,23.8,113.95,1.51,3.24,130.28
Jan-26,7.36,22.47,54.55,52.93,24.6,110.88,1.42,3.42,133.39
Feb-26,7.52,23.18,56.83,54.76,21.2,120.55,1.2,2.8,139.42
Mar-26,6.12,21.81,105.41,54.32,18.5,78.04,1.15,2.35,133.01
Apr-26,6.55,19.65,118.25,58.76,16.4,94.06,1.22,2.18,119.05
May-26,6.86,18.02,92.63,43.88,14.8,102.2,0.94,1.85,90.22
Jun-26,5.56,17.88,64.24,28.54,12.1,66.08,0.71,1.3,68.5
Jul-26,5.11,21.33,34.08,14.27,7.9,52.22,0.48,0.75,46.12
